corp_code,corp_name,industry,stock_code,modify_date,done_YN,market_cap,,
126308,삼성E&A,서비스업,28050,20240416,N,3239880000000 ,,
164478,현대건설,건설업,720,20230109,N,3207046032000 ,,
105952,LS,기타금융,6260,20230106,N,3142720000000 ,,
1244601,카카오페이,기타금융,377300,20221227,N,3008667287100 ,,
162461,한화솔루션,화학,9830,20240913,N,3008119380000 ,,
858364,BNK금융지주,기타금융,138930,20230320,N,2996083397450 ,,
144395,동서,유통업,26960,20230217,N,2846435000000 ,,
106368,금호석유화학,화학,11780,20230104,N,2809995543600 ,,
145880,현대제철,철강금속,4020,20231229,N,2802361485000 ,,
148540,CJ,기타금융,1040,20230109,N,2707625414400 ,,
159209,한전기술,서비스업,52690,20230206,N,2625714000000 ,,
164973,현대해상,보험,1450,20230105,N,2561310000000 ,,
158501,에스원,서비스업,12750,20240322,N,2317949858000 ,,
129989,코스모신소재,화학,5070,20230222,N,2314765827200 ,,
120562,롯데지주,기타금융,4990,20230109,N,2302757752150 ,,
195229,휠라홀딩스,유통업,81660,20240216,N,2298665841750 ,,
113058,한화생명,보험,88350,20220429,N,2253835350000 ,,
161426,한미사이언스,기타금융,8930,20240516,N,2222725375000 ,,
140177,GS리테일,유통업,7070,20240322,N,2220019946400 ,,
161125,한온시스템,기계,18880,20230811,N,2212601000000 ,,
108241,농심,음식료품,4370,20240701,N,2201916404000 ,,
160588,한화,화학,880,20240722,N,2170055378250 ,,
162586,한올바이오파마,의약품,9420,20240701,N,2115745839000 ,,
113207,대한전선,전기전자,1440,20240404,N,2049055827000 ,,
159218,한전KPS,건설업,51600,20230207,N,2029500000000 ,,
148276,제일기획,서비스업,30000,20230206,N,2029327209000 ,,
105271,케이씨씨,화학,2380,20240703,N,2026115388000 ,,
106119,금양,화학,1570,20230621,N,1950481243200 ,,
1568413,F&F,섬유의복,383220,20230220,N,1945999410000 ,,
164724,현대엘리베이터,기계,17800,20230110,N,1886207576250 ,,
1386916,SK아이이테크놀로지,전기전자,361610,20230328,N,1871561790000 ,,
1867758,한화인더스트리얼솔루션즈,기타금융,489790,20241018,N,1852923913000 ,,
122737,팬오션,운수창고업,28670,20221209,N,1836246273720 ,,
154462,아모레퍼시픽그룹,화학,2790,20230320,N,1834694505000 ,,
1263022,BGF리테일,유통업,282330,20231103,N,1814810130000 ,,
113410,CJ대한통운,운수창고업,120,20240326,N,1799893941600 ,,
120526,롯데쇼핑,유통업,23530,20230109,N,1768047187500 ,,
1042775,HL만도,운수장비,204320,20230327,N,1751500576000 ,,
776820,영원무역,유통업,111770,20230223,N,1732578398800 ,,
872984,이마트,유통업,139480,20240329,N,1686487049500 ,,
670340,씨에스윈드,기계,112610,20241028,N,1672096128950 ,,
684714,풍산,철강금속,103140,20230102,N,1656234829800 ,,
129679,녹십자,의약품,6280,20240701,N,1637283973800 ,,
160047,한국앤컴퍼니,기타금융,240,20230102,N,1590165270000 ,,
427483,대웅제약,의약품,69620,20240329,N,1561870310000 ,,
