DATE,CLOSE
20211125,2980.27
20211126,2936.44
20211129,2909.32
20211130,2839.01
20211201,2899.72
20211202,2945.27
20211203,2968.33
20211206,2973.25
20211207,2991.72
20211208,3001.80
20211209,3029.57
20211210,3010.23
20211213,3001.66
20211214,2987.95
20211215,2989.39
20211216,3006.41
20211217,3017.73
20211220,2963.00
20211221,2975.03
20211222,2984.48
20211223,2998.17
20211224,3012.43
20211227,2999.55
20211228,3020.24
20211229,2993.29
20211230,2977.65
20220103,2988.77
20220104,2989.24
20220105,2953.97
20220106,2920.53
20220107,2954.89
20220110,2926.72
20220111,2927.38
20220112,2972.48
20220113,2962.09
20220114,2921.92
20220117,2890.10
20220118,2864.24
20220119,2842.28
20220120,2862.68
20220121,2834.29
20220124,2792.00
20220125,2720.39
20220126,2709.24
20220127,2614.49
20220128,2663.34
20220203,2707.82
20220204,2750.26
20220207,2745.06
20220208,2746.47
20220209,2768.85
20220210,2771.93
20220211,2747.71
20220214,2704.48
20220215,2676.54
20220216,2729.68
20220217,2744.09
20220218,2744.52
20220221,2743.80
20220222,2706.79
20220223,2719.53
20220224,2648.80
20220225,2676.76
20220228,2699.18
20220302,2703.52
20220303,2747.08
20220304,2713.43
20220307,2651.31
20220308,2622.40
20220310,2680.32
20220311,2661.28
20220314,2645.65
20220315,2621.53
20220316,2659.23
20220317,2694.51
20220318,2707.02
20220321,2686.05
20220322,2710.00
20220323,2735.05
20220324,2729.66
20220325,2729.98
20220328,2729.56
20220329,2741.07
20220330,2746.74
20220331,2757.65
20220401,2739.85
20220404,2757.90
20220405,2759.20
20220406,2735.03
20220407,2695.86
20220408,2700.39
20220411,2693.10
20220412,2666.76
20220413,2716.49
20220414,2716.71
20220415,2696.06
20220418,2693.21
20220419,2718.89
20220420,2718.69
20220421,2728.21
20220422,2704.71
20220425,2657.13
20220426,2668.31
20220427,2639.06
20220428,2667.49
20220429,2695.05
20220502,2687.45
20220503,2680.46
20220504,2677.57
20220506,2644.51
20220509,2610.81
20220510,2596.56
20220511,2592.27
20220512,2550.08
20220513,2604.24
20220516,2596.58
20220517,2620.44
20220518,2625.98
20220519,2592.34
20220520,2639.29
20220523,2647.38
20220524,2605.87
20220525,2617.22
20220526,2612.45
20220527,2638.05
20220530,2669.66
20220531,2685.90
