BAS_DD,IDX_CLSS,IDX_NM,CLSPRC_IDX,CMPPREVDD_IDX,FLUC_RT,OPNPRC_IDX,HGPRC_IDX,LWPRC_IDX,ACC_TRDVOL,ACC_TRDVAL,MKTCAP
20211125,KOSPI,코스피 (외국주포함),-,-,-,-,-,-,595969686,9401090529106,2199950623164321
20211125,KOSPI,코스피,2980.27,-14.02,-0.47,2996.74,2996.74,2973.24,595400439,9395229842711,2198127835486776
20211125,KOSPI,코스피 200,391.93,-3.47,-0.88,395.67,395.73,391.69,117213378,6741120432411,1859801460699150
20211125,KOSPI,코스피 100,2957.47,-26.05,-0.87,2985.63,2985.63,2955.67,76973142,5469265243866,1686375132653600
20211125,KOSPI,코스피 50,2746.77,-22.08,-0.80,2772.12,2772.12,2744.25,41908092,4364973969636,1474079278909900
20211125,KOSPI,코스피 200 중소형주,1406.82,-8.78,-0.62,1417.71,1417.71,1405.51,40240236,1271855188545,173426328045550
20211125,KOSPI,코스피 200 초대형제외 지수,293.00,-1.86,-0.63,295.31,295.31,292.84,104654120,5811549180351,1419828486764150
20211125,KOSPI,코스피200제외 코스피지수,4079.65,57.55,1.43,4035.08,4105.20,4022.89,475536663,2536890490766,259933447048116
20211125,KOSPI,코스피 200 커뮤니케이션서비스,3276.05,9.77,0.30,3279.20,3308.37,3268.78,6431307,1022718772350,229080122121800
20211125,KOSPI,코스피 200 건설,303.46,0.34,0.11,303.69,305.73,301.36,7027640,421173400030,43266888183460
20211125,KOSPI,코스피 200 중공업,307.42,-0.67,-0.22,307.15,308.54,305.15,12930096,264398381530,47388891569650
20211125,KOSPI,코스피 200 철강/소재,862.64,-6.73,-0.77,870.71,870.71,861.01,1512155,115733564800,45264853812400
20211125,KOSPI,코스피 200 에너지/화학,1943.54,-7.54,-0.39,1952.70,1953.48,1938.33,10440390,827886862300,171625773973550
20211125,KOSPI,코스피 200 정보기술,3710.42,-55.95,-1.49,3778.37,3778.37,3705.58,22688511,2028234366060,657848813850200
20211125,KOSPI,코스피 200 금융,704.65,-4.77,-0.67,708.65,708.65,702.65,14341099,427726017705,169777822539980
20211125,KOSPI,코스피 200 생활소비재,1034.71,-6.87,-0.66,1040.06,1040.74,1033.89,3918987,232788626450,105663709056540
20211125,KOSPI,코스피 200 경기소비재,1709.54,-17.62,-1.02,1726.56,1727.95,1708.26,8119390,459355811071,165118895873965
20211125,KOSPI,코스피 200 산업재,587.86,-6.74,-1.13,593.32,593.34,587.20,16373340,294622219680,87294288609085
20211125,KOSPI,코스피 200 헬스케어,2205.87,-16.11,-0.73,2213.35,2223.65,2200.84,13430463,646482410435,137471401108520
20211125,KOSPI,음식료품,3819.21,-30.85,-0.80,3840.05,3845.44,3815.46,5013386,60290211744,26678834440776
20211125,KOSPI,섬유의복,501.48,-12.54,-2.44,513.18,513.18,501.48,189375008,221673473143,13227528809716
20211125,KOSPI,종이목재,402.38,-5.46,-1.34,407.79,407.79,402.02,7038153,22273953565,3487584831925
20211125,KOSPI,화학,6542.43,-35.34,-0.54,6583.14,6586.81,6538.21,35652473,1042375541970,215300462732019
20211125,KOSPI,의약품,16969.29,-21.40,-0.13,16944.16,17067.75,16929.52,18469155,693113643218,134494768371401
20211125,KOSPI,비금속광물,2864.18,102.23,3.70,2773.24,2872.65,2766.98,7057941,305726416357,24413217722550
20211125,KOSPI,철강금속,4578.53,-42.80,-0.93,4614.44,4615.25,4555.57,22982815,277470799335,52611100483840
20211125,KOSPI,기계,1136.59,-9.49,-0.83,1144.84,1151.69,1135.00,26898439,237886244660,37253401834417
20211125,KOSPI,전기전자,28621.21,-420.92,-1.45,29083.55,29083.55,28584.87,72250329,2556696197250,731814847682565
20211125,KOSPI,의료정밀,3002.12,47.81,1.62,2980.13,3019.93,2939.93,1478616,47171370410,7656714797150
20211125,KOSPI,운수장비,2116.72,-11.43,-0.54,2129.42,2130.41,2114.02,21588296,452014529810,159836401596419
20211125,KOSPI,유통업,375.87,-5.04,-1.32,380.27,380.27,374.63,69196713,510007208000,69961439602175
20211125,KOSPI,전기가스업,783.04,-1.81,-0.23,784.12,785.28,780.90,1474866,33911483100,21614003053230
20211125,KOSPI,건설업,117.75,-1.09,-0.92,118.94,119.16,117.71,8513799,94735142690,23149237276635
20211125,KOSPI,운수창고업,1932.98,-21.81,-1.12,1953.43,1956.63,1932.66,16177232,185648621195,45114116675585
20211125,KOSPI,통신업,416.28,-0.42,-0.10,416.54,416.98,415.50,8085703,48202303715,36833022800700
20211125,KOSPI,금융업,456.05,5.92,1.32,450.16,458.50,447.71,47580018,1177273606822,301854920256593
20211125,KOSPI,증권,2163.96,-4.65,-0.21,2165.62,2176.17,2158.86,9513222,60245987246,29311888962090
20211125,KOSPI,보험,13721.12,-189.51,-1.36,13870.30,13870.30,13713.10,4745929,72983813660,40765413108175
20211125,KOSPI,서비스업,2013.65,3.29,0.16,2018.68,2031.98,2010.42,33253755,1369175517969,273580078496035
20211125,KOSPI,제조업,7436.78,-69.09,-0.92,7510.10,7510.89,7428.32,410112377,5961934545626,1423199115264643
20211125,KOSPI,코스피 대형주,2879.05,-23.13,-0.80,2903.86,2903.86,2877.70,80201991,5467624209886,1653132502712270
20211125,KOSPI,코스피 중형주,3313.47,-25.17,-0.75,3339.61,3340.48,3313.31,66130931,1539078777591,256971593500118
20211125,KOSPI,코스피 소형주,2579.19,-16.10,-0.62,2597.84,2598.00,2579.11,435024488,1269705237700,101174242335308
20211125,KOSPI,코스피 200 비중상한 30%,391.39,-3.44,-0.87,395.11,395.12,391.15,117213378,6741120432411,1859801460699150
20211125,KOSPI,코스피 200 비중상한 25%,388.80,-3.26,-0.83,392.39,392.39,388.59,117213378,6741120432411,1859801460699150
20211125,KOSPI,코스피 200 비중상한 20%,379.76,-3.02,-0.79,383.16,383.16,379.57,117213378,6741120432411,1859801460699150
20211125,KOSPI,코스피 200 TOP 10,1551.33,-11.32,-0.72,1567.35,1567.71,1549.56,21576026,2364077534460,879010523474300
20211126,KOSPI,코스피 (외국주포함),-,-,-,-,-,-,595597647,11901297731572,2167444597231403
