ROE,ROE_가중치,corp_name,industry,stock_code,거래량,고가,고정비율,고정비율_가중치,날짜,등락률,매출액_증감률,매출액_증감률_가중치,매출총이익률,부채비율,부채비율_가중치,순이익률,순이익률_가중치,시가,시계열,영업이익_증감률,영업이익률,영업이익률_가중치,유동비율,유동비율_가중치,저가,종가
3.218119078031761,,현대자동차,운수장비,5380,889521,248000,180.97153642308356,0.2,2024-08-02,-3.7475345167652856,-71.47332453973956,,20.72821181302803,182.093493222504,0.4,8.303306811613806,,242500,2024-1분기,-63.77348960311697,8.7493636017069,0.1,146.54287612703772,0.3,242000,244000
3.218119078031761,,현대자동차,운수장비,5380,1465965,239500,180.97153642308356,0.2,2024-08-05,-8.19672131147541,-71.47332453973956,,20.72821181302803,182.093493222504,0.4,8.303306811613806,,236000,2024-1분기,-63.77348960311697,8.7493636017069,0.1,146.54287612703772,0.3,216500,224000
3.218119078031761,,현대자동차,운수장비,5380,1250180,241500,180.97153642308356,0.2,2024-08-06,4.910714285714286,-71.47332453973956,,20.72821181302803,182.093493222504,0.4,8.303306811613806,,233500,2024-1분기,-63.77348960311697,8.7493636017069,0.1,146.54287612703772,0.3,228000,235000
3.218119078031761,,현대자동차,운수장비,5380,756779,241000,180.97153642308356,0.2,2024-08-07,0.425531914893617,-71.47332453973956,,20.72821181302803,182.093493222504,0.4,8.303306811613806,,233000,2024-1분기,-63.77348960311697,8.7493636017069,0.1,146.54287612703772,0.3,231500,236000
3.218119078031761,,현대자동차,운수장비,5380,698685,240000,180.97153642308356,0.2,2024-08-08,0.211864406779661,-71.47332453973956,,20.72821181302803,182.093493222504,0.4,8.303306811613806,,231500,2024-1분기,-63.77348960311697,8.7493636017069,0.1,146.54287612703772,0.3,228500,236500
3.218119078031761,,현대자동차,운수장비,5380,606967,248000,180.97153642308356,0.2,2024-08-09,2.748414376321353,-71.47332453973956,,20.72821181302803,182.093493222504,0.4,8.303306811613806,,240500,2024-1분기,-63.77348960311697,8.7493636017069,0.1,146.54287612703772,0.3,240000,243000
3.218119078031761,,현대자동차,운수장비,5380,469844,249000,180.97153642308356,0.2,2024-08-12,0.205761316872428,-71.47332453973956,,20.72821181302803,182.093493222504,0.4,8.303306811613806,,246000,2024-1분기,-63.77348960311697,8.7493636017069,0.1,146.54287612703772,0.3,242000,243500
3.218119078031761,,현대자동차,운수장비,5380,358474,245500,180.97153642308356,0.2,2024-08-13,-0.2053388090349076,-71.47332453973956,,20.72821181302803,182.093493222504,0.4,8.303306811613806,,242000,2024-1분기,-63.77348960311697,8.7493636017069,0.1,146.54287612703772,0.3,240000,243000
3.801054558369533,,현대자동차,운수장비,5380,500276,248000,182.6817473977543,0.2,2024-08-14,-0.823045267489712,10.728629929780986,,21.628410105596103,179.51078691181962,0.4,9.27108923470589,,245500,2024-2분기,20.289765444037155,9.504848891396383,0.1,145.53161668795022,0.3,238500,241000
3.801054558369533,,현대자동차,운수장비,5380,1113073,256500,182.6817473977543,0.2,2024-08-16,5.809128630705394,10.728629929780986,,21.628410105596103,179.51078691181962,0.4,9.27108923470589,,248000,2024-2분기,20.289765444037155,9.504848891396383,0.1,145.53161668795022,0.3,246500,255000
3.801054558369533,,현대자동차,운수장비,5380,739313,259500,182.6817473977543,0.2,2024-08-19,0.0,10.728629929780986,,21.628410105596103,179.51078691181962,0.4,9.27108923470589,,256000,2024-2분기,20.289765444037155,9.504848891396383,0.1,145.53161668795022,0.3,250000,255000
