,industry,corp_name,stock_code,공시날짜,시계열,ROE,영업이익률,순이익률,매출총이익률,부채비율,유동비율,고정비율,매출액_증감률,영업이익_증감률
2008,의약품,대웅,3090,20201116,2020-3분기,-1.6320086677422745,0.0,0.0,0.0,66.41335790046493,181.26263159747896,92.69229667675447,0.0,39.99577348864365
2009,의약품,대웅,3090,20210318,2020-4분기,-10.598789528345808,0.0,0.0,0.0,64.51804963650038,227.41699524133244,89.64026071697168,0.0,262.0586275719877
2010,의약품,대웅,3090,20210517,2021-1분기,-0.6514287770932098,0.0,0.0,0.0,72.17972367231744,207.088712346905,91.397594584125,0.0,-54.83266262644395
2011,의약품,대웅,3090,20210817,2021-2분기,-2.5422491485068233,0.0,0.0,0.0,70.70332728261171,169.61441211063163,94.42995752209129,0.0,-2.1405279443738157
2012,의약품,대웅,3090,20211115,2021-3분기,-3.0362751396100096,0.0,0.0,0.0,70.16925970251326,208.79575658661693,92.80938711970558,0.0,11.020599487787685
2013,의약품,대웅,3090,20220321,2021-4분기,-8.639128320095416,0.0,0.0,0.0,67.12652221636432,164.9897756081616,93.8368063058002,0.0,279.5446782822377
2014,의약품,대웅,3090,20220516,2022-1분기,-2.4926434456194886,0.0,0.0,0.0,67.34837990336858,169.74670113434678,93.0254755549549,0.0,-74.20225416668949
2015,의약품,대웅,3090,20220816,2022-2분기,-3.2626957701282127,0.0,0.0,0.0,65.7833803526858,203.52483446269142,90.88935682403923,0.0,25.84957460808375
2016,의약품,대웅,3090,20221114,2022-3분기,-3.8499412877892514,0.0,0.0,0.0,64.27197374968898,195.51225673553552,92.5385668076636,0.0,-1.3805387199087304
2017,의약품,대웅,3090,20230321,2022-4분기,-9.399609222352481,0.0,0.0,0.0,68.73067604533021,184.97248688328156,94.16959749902306,0.0,254.5760551903166
2018,의약품,대웅,3090,20230515,2023-1분기,-3.3938300434914845,0.0,0.0,0.0,66.74931569343066,179.5286127156596,95.24102798053528,0.0,-77.04562244687317
2019,의약품,대웅,3090,20230814,2023-2분기,-3.909978377570776,0.0,0.0,0.0,63.4631598173516,167.30521086569624,94.02812785388129,0.0,43.28997911500978
2020,의약품,대웅,3090,20231114,2023-3분기,-3.3545725147070415,0.0,0.0,0.0,63.93747447316189,133.9291301114809,97.98938083534563,0.0,-3.855032929658486
2021,의약품,대웅,3090,20240320,2023-4분기,-13.323983853006682,0.0,0.0,0.0,64.20364699331849,124.82489247529682,104.171074610245,0.0,198.33468668730353
2022,의약품,대웅,3090,20240514,2024-1분기,-1.6707595034047278,0.0,0.0,0.0,64.99110355991384,118.64590534204854,107.01480956266974,0.0,-75.21574537233009
2023,의약품,대웅,3090,20240814,2024-2분기,-1.2521287049308458,0.0,0.0,0.0,73.27896149794407,133.37096902883346,113.06691133992592,0.0,41.67062515327344
2024,의약품,대웅,3090,20241114,2024-3분기,-3.757072009974416,0.0,0.0,0.0,71.88380452734869,147.6701251344474,113.54966158230513,0.0,48.087114052148095
2025,의약품,대웅제약,69620,20200515,2020-1분기,-0.45472924626643085,-2.1631117728870843,-1.1727370187059303,43.70777568423302,91.99598699690588,212.23143947303478,107.788148384706,0.0,0.0
2026,의약품,대웅제약,69620,20200814,2020-2분기,-0.5385112286907993,-1.270393372476284,-1.390742077884233,42.16688128344773,90.67518526424934,210.45127597199752,110.54954103260042,-1.3457392047551475,-42.060451682739654
2027,의약품,대웅제약,69620,20201116,2020-3분기,-0.4974831482311062,-2.1382829814979374,-1.19542666327113,39.66998273333478,100.9105285786013,127.6434570524269,122.15845031252913,9.01508618143585,83.49049086577074
2028,의약품,대웅제약,69620,20210817,2020-4분기,-3.47329743185535,-1.608812073203085,-2.288005311818991,42.34731197058991,96.60697102764621,161.69885233358835,120.61247121534875,281.24652318718074,186.8441710837364
2029,의약품,대웅제약,69620,20210817,2021-1분기,-3.026679089111898,-8.366246024916826,-7.739760987252288,47.73920042133842,106.16628399948365,155.6367076532805,120.02758684707867,-74.45405620511265,32.84562832824163
2030,의약품,대웅제약,69620,20210817,2021-2분기,-1.3335353130892795,-6.4556897819063,-3.0929528961793906,47.15767090565152,106.93480140675487,118.34110400940077,128.09550811801142,7.445747115352508,-17.091081269180652
