corp_code,corp_name,종목명,stock_code,modify_date,done_YN
972503,일진하이솔루스,운수장비,271940,20230324,N
767460,PI첨단소재,화학,178920,20230324,N
382199,신한지주,기타금융,55550,20230324,N
858364,BNK금융지주,기타금융,138930,20230320,N
154462,아모레퍼시픽그룹,화학,2790,20230320,N
133858,세방전지,전기전자,4490,20230317,N
124540,대우건설,건설업,47040,20230313,N
309503,한국항공우주,운수장비,47810,20230309,N
776820,영원무역,유통업,111770,20230223,N
140964,영원무역홀딩스,기타금융,9970,20230223,N
129989,코스모신소재,화학,5070,20230222,N
1568413,F&F,섬유의복,383220,20230220,N
117300,TCC스틸,철강금속,2710,20230220,N
108135,녹십자홀딩스,서비스업,5250,20230220,N
159023,SK텔레콤,통신업,17670,20230217,N
144395,동서,유통업,26960,20230217,N
117577,오리온홀딩스,기타금융,1800,20230216,N
1316227,효성티앤씨,화학,298020,20230216,N
117212,두산,기타금융,150,20230214,N
145109,유한양행,의약품,100,20230208,N
159218,한전KPS,건설업,51600,20230207,N
159209,한전기술,서비스업,52690,20230206,N
148276,제일기획,서비스업,30000,20230206,N
980122,JB금융지주,기타금융,175330,20230113,N
261285,한국가스공사,전기가스업,36460,20230113,N
159616,두산에너빌리티,기계,34020,20230111,N
159102,DB손해보험,보험,5830,20230110,N
164724,현대엘리베이터,기계,17800,20230110,N
126362,삼성SDI,전기전자,6400,20230109,N
164478,현대건설,건설업,720,20230109,N
106641,기아,운수장비,270,20230109,N
148540,CJ,기타금융,1040,20230109,N
854997,에스디바이오센서,의료정밀,137310,20230109,N
117188,효성,기타금융,4800,20230109,N
126566,한화에어로스페이스,운수장비,12450,20230109,N
120562,롯데지주,기타금융,4990,20230109,N
120526,롯데쇼핑,유통업,23530,20230109,N
105952,LS,기타금융,6260,20230106,N
356361,LG화학,화학,51910,20230106,N
164973,현대해상,보험,1450,20230105,N
860332,메리츠금융지주,기타금융,138040,20230105,N
126292,삼성카드,기타금융,29780,20230105,N
302926,현대로템,운수장비,64350,20230104,N
106368,금호석유화학,화학,11780,20230104,N
164742,현대자동차,운수장비,5380,20230103,N
170558,코웨이,서비스업,21240,20230103,N
269940,하나투어,서비스업,39130,20230103,N
160047,한국앤컴퍼니,기타금융,240,20230102,N
141307,영풍,철강금속,670,20230102,N
684714,풍산,철강금속,103140,20230102,N
126371,삼성전기,전기전자,9150,20230102,N
1032486,두산밥캣,기계,241560,20221229,N
113526,대한항공,운수창고업,3490,20221229,N
1133217,카카오뱅크,은행,323410,20221228,N
106623,현대위아,운수장비,11210,20221228,N
432102,한국금융지주,기타금융,71050,20221228,N
150244,하이트진로,음식료품,80,20221228,N
164645,HMM,운수창고업,11200,20221227,N
1244601,카카오페이,기타금융,377300,20221227,N
500254,GS,기타금융,78930,20221227,N
120021,LG,기타금융,3550,20221220,N
939331,한국콜마,화학,161890,20221220,N
260383,대한유화,화학,6650,20221215,N
231363,LG유플러스,통신업,32640,20221213,N
122737,팬오션,운수창고업,28670,20221209,N
165680,호텔신라,유통업,8770,20221209,N
231372,롯데관광개발,서비스업,32350,20221207,N
1319808,한일시멘트,비금속광물,300720,20221206,N
557508,GKL,서비스업,114090,20221206,N
140955,한솔케미칼,화학,14680,20221130,N
126186,삼성에스디에스,서비스업,18260,20221130,N
113058,한화생명,보험,88350,20220429,N
145260,율촌화학,화학,8730,20220221,N
