종목명,베타 값
AJ네트웍스,0.43002706872149127
AK홀딩스,0.40771052817291614
BGF,0.5732900079767267
BGF리테일,0.11515003331816502
BNK금융지주,0.5769340557462213
BYC,0.45293341557900485
BYC우,0.22149900134043937
CJ,1.0095903108731052
CJ CGV,0.47438555501999025
CJ4우(전환),0.9183882028240696
CJ대한통운,0.505847401956559
CJ씨푸드,0.9232982072009969
CJ씨푸드1우,0.5581091949615498
CJ우,0.47909028926478975
CJ제일제당,0.5192400255060667
CJ제일제당 우,0.45887881530386665
CR홀딩스,0.614742538726398
CS홀딩스,0.35214224770000996
DB,0.6876884786536469
DB금융투자,0.5497847758813252
DB손해보험,0.9836573470062798
DB하이텍,1.1056484865855298
DGB금융지주,0.5813508654071396
DI동일,0.5151646014282135
DL,0.68524161191438
DL건설,-0.007640348203034525
DL우,0.6243474695611939
DL이앤씨,0.6979809500272692
DL이앤씨2우(전환),0.5808734670980868
DL이앤씨우,0.5598651960531784
DN오토모티브,0.48884166307678645
DRB동일,0.7187322301504423
DSR,0.5606805459969544
DSR제강,0.682923066981898
E1,0.5335762278645142
ESR켄달스퀘어리츠,0.2891002146840178
F&F,0.7737734460236965
F&F홀딩스,0.8266926530299795
GKL,0.3872582021137149
GS,0.7219743078515443
GS건설,0.7107768076524501
GS글로벌,0.8814750277094742
GS리테일,0.34552896458932897
GS우,0.43998297035555656
HDC,0.4916830131922277
HDC랩스,0.3057294580601793
HDC현대EP,0.76651865415821
HDC현대산업개발,0.6019510090012115
HD한국조선해양,1.0673549730770684
HD현대,0.5137437967413888
HD현대건설기계,0.9352911079139163
HD현대에너지솔루션,1.1168750542768375
HD현대인프라코어,1.0551424451972877
HD현대일렉트릭,0.9310200784096861
HD현대중공업,0.8634289480091553
HJ중공업,0.9009869178540528
HL D&I,0.5463697374908285
HLB글로벌,1.0026338701739648
HL만도,1.081882208378685
HL홀딩스,0.341874924372577
HMM,0.9870170252089263
HSD엔진,0.7143114088104372
HS애드,0.20595446984881519
IHQ,0.0
JB금융지주,0.4926089832325867
JW생명과학,0.4042064272504263
JW중외제약,1.0861085023899348
JW중외제약2우B,-0.02374036216935975
JW중외제약우,0.10843351896983315
JW홀딩스,0.5868123890364931
KB금융,1.085484476443353
KB스타리츠,0.19689503540477168
KCC,0.767567052772782
KCC글라스,0.36260762717763745
KCTC,1.0398875356970574
KC그린홀딩스,0.39328434120375505
KC코트렐,0.17688460028635253
KEC,1.2159484090645125
KG모빌리티,0.7814727825578507
KG스틸,0.8597218540242726
KG케미칼,0.9803199527803724
KH 필룩스,0.0
KIB플러그에너지,0.47474620764583486
KISCO홀딩스,0.44657700232136716
KPX케미칼,0.29150235326780005
KPX홀딩스,0.3502845403470776
KR모터스,0.5342630554432688
KSS해운,0.4896146096285385
KT,0.44954367809920703
KT&G,0.31604285841952917
KTcs,0.9670627635175485
KTis,0.674998460746108
LF,0.5272099481199745
LG,0.9491069986152839
LG디스플레이,1.0610161282317805
LG생활건강,0.666971511109738
LG생활건강우,0.5047261725750725
LG에너지솔루션,0.7596386261471699
LG우,0.38419781916862517
LG유플러스,0.26880669406063096
LG이노텍,1.1471892409467654
LG전자,0.8735519036479685
LG전자우,0.7052449394445649
LG헬로비전,0.7799339334509443
LG화학,1.099170733148986
LG화학우,1.0432549561813824
LIG넥스원,0.6104464333280262
LS,1.4603815088969812
LS ELECTRIC,1.0418054337563412
LS네트웍스,1.1837228669363082
LS전선아시아,-0.8306804988514827
LX세미콘,0.8395550605251065
LX인터내셔널,0.7312594950490737
LX하우시스,0.7770694359800135
LX하우시스우,0.6143428432819067
LX홀딩스,0.42807855251240917
LX홀딩스1우,0.2690344095944192
MH에탄올,0.3444143976546249
NAVER,0.6913950113200509
NHN,0.5392919712877747
NH올원리츠,0.20881412457208445
NH투자증권,0.6675851300405107
NH투자증권우,0.38971478981287055
NH프라임리츠,0.16208042341013526
NICE,0.28105350150094177
NICE평가정보,0.4659586714704945
NI스틸,0.5502442364573736
NPC,0.8305197701131548
NPC우,0.4635997018241995
OCI,1.060236656199846
OCI홀딩스,0.7625445890334942
PI첨단소재,1.1798839560504946
POSCO홀딩스,1.1166890218375038
S-Oil,0.47657887579210845
S-Oil우,0.2765407039342914
SBS,0.48624306791703753
SGC에너지,0.5455415579344978
SG글로벌,0.7502426525364714
SG세계물산,0.5312754054318072
SHD,0.3250863240254505
SH에너지화학,0.42251313849363964
SIMPAC,0.5861965823088594
SJM,0.6544727426015134
SJM홀딩스,0.7824054664074672
SK,1.0376790654405887
SKC,1.3904021677038603
SK가스,0.34266543933667876
SK네트웍스,0.8550508404673564
SK디스커버리,0.6038248356109437
SK디스커버리우,0.39033664263758455
SK디앤디,0.7659602755695117
SK렌터카,0.2658855655203916
SK리츠,0.3087347058339766
SK바이오사이언스,0.9911229573741316
SK바이오팜,0.915557715872132
SK스퀘어,1.8992807249112875
SK아이이테크놀로지,1.1957944708591404
SK오션플랜트,1.013782011034394
SK우,0.8859637338294245
SK이노베이션,1.150699458895468
SK이노베이션우,0.934754012956608
SK증권,0.6440526953999126
SK증권우,0.16230308096303278
SK케미칼,0.8036566709538142
SK케미칼우,0.48621550216576565
SK텔레콤,0.2576184207633317
SK하이닉스,1.761508241033936
SNT다이내믹스,0.5349745333413702
SNT모티브,0.345199743352473
SNT에너지,1.2065978680089573
SNT홀딩스,0.5124720459575867
SPC삼립,0.3286477259036031
STX,1.5550108759368615
STX그린로지스,0.6947565801509507
STX엔진,0.8745063554037398
STX중공업,1.1118134765636465
SUN&L,0.1919433491563061
TBH글로벌,0.33829392893305227
TCC스틸,1.4134995450587102
TKG휴켐스,0.37076124890700496
TYM,0.599105795693885
WISCOM,0.3505023404773209
YG PLUS,0.5935488075668803
가온전선,1.8007415410885845
강남제비스코,0.47923994361960665
강원랜드,0.44221111366294236
갤럭시아에스엠,0.9624688034567574
경농,0.46118653376032664
경동나비엔,0.5899895005439659
경동도시가스,0.37201860596859027
